PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
0,7.44,2.18,0.53,0.19,1,65.0,82.0,d,e/u,d,e/u,"2250.17, 407.14","2381.88, 335.87",68.0,12.1969005,0.0,0.0981446,0,0.0
0,6.02,3.84,0.54,0.18,181,32.0,59.0,d,e/u,d,e/u,"347.86, 173.84","77.26, 630.90",56.0,11.464643,0.0,0.0981446,0,0.0035
0,5.45,3.84,0.55,0.15,695,51.0,55.0,d,e/u,d,e/u,"2285.24, 461.01","1972.20, 631.59",38.0,11.25425353,0.262878,0.362857,0,0.181
0,6.746692357,3.749403752,0.6247554045,0.3565887732,366,45.05643954,60.44026632,d,e/u,d,e/u,"1535.08, 500.33","2499.70, 526.28",83.4404001,12.24063232,0.901855,1.0,1,0.0623
4,6.29,2.76,0.79,0.16,168,65.0,57.0,d,e/u,d,e/u,"744.90, 157.26","2920.85, 196.13",31.0,11.47591198,0.74021,0.839965,1,0.4484
0,6.23,3.65,0.64,0.17,109,38.0,98.0,d,e/u,d,e/u,"362.71, 182.80","1495.42, 387.52",33.0,12.07268198,0.0,0.0981446,0,0.0378
0,6.21,3.04,0.68,0.27,687,43.0,77.0,d,e/u,d,e/u,"169.43, 713.47","3733.34, 215.79",94.0,11.34362422,0.0,0.0981446,0,0.6949
0,5.15,4.13,0.79,0.11,165,51.0,52.0,d,e/u,d,e/u,"367.53, 177.39","2229.06, 294.91",54.0,12.21932986,0.0,0.0981446,0,0.023
0,5.41,4.19,0.62,0.26,360,38.0,79.0,d,e/u,d,e/u,"548.54, 194.90","138.53, 411.75",39.0,11.16858303,0.0,0.0981446,0,0.9504
0,6.67,2.9,0.73,0.14,202,54.0,43.0,d,e/u,d,e/u,"179.28, 621.78","2626.14, 228.42",39.0,11.15876268,0.0,0.0981446,0,0.0
4,5.43,2.85,0.5,0.33,1,31.0,75.0,d,e/u,d,e/u,"1320.74, 433.92","2877.66, 195.43",46.0,11.40496677,0.0,0.0981446,0,0.0906
