PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS
1.0,6.322904767502013,3.957212025063849,0.5093349059921498,0.1028500809210015,389.0,98.27676705797404,90.55453900936016,2.0,1.0,1.0,2.0,1.0,0.0,110.69,488.87,519.32,262.95,72.89270687378972,11.13776221,0.22587505700000007
0.0,7.372008967045543,3.52688802228234,0.5704575856082631,0.2050577086003082,583.0,96.99377353214264,63.65424954032977,2.0,1.0,1.0,2.0,1.0,0.0,110.69,488.87,519.32,262.95,81.5977368014479,11.10892004,0.329211750238095
3.0,5.111077023395665,4.004833525720365,0.7362009861778009,0.3421550657579367,156.0,93.5281068200496,34.86746424704796,1.0,0.0,1.0,1.0,1.0,2.0,400.0,200.0,2890.4,199.96,76.21242900365304,11.13342642,0.12743087850000023
0.0,5.059342559875047,2.0836862159954106,0.5491236605583276,0.3899570726540211,419.0,58.36581265296044,38.094642513987154,1.0,0.0,2.0,0.0,0.0,1.0,897.86,674.11,1003.85,774.62,38.19039534121431,11.48857856,0.19611639449999999
5.0,5.0173363034203895,3.5890430450336863,0.7193530016519571,0.288738677018497,162.0,77.12291363943999,45.812141142358,0.0,0.0,1.0,2.0,0.0,2.0,2957.69,197.54,2909.61,200.41,77.94048197566198,12.02626005,0.19911166149999981
0.0,5.0168982424967,3.1266921107805805,0.7825991136721483,0.3746836996351845,210.0,56.050141821273165,94.61744619625426,2.0,1.0,1.0,0.0,0.0,1.0,2775.41,236.2,2190.72,647.18,70.32232118900987,11.10645673,0.12494519000000016
5.0,5.937519702348218,3.0044478120312608,0.6787996206658398,0.2020417035447945,1.0,35.92649542637216,47.79521336910303,2.0,1.0,0.0,2.0,0.0,0.0,2903.14,195.52,2857.59,200.51,84.68912882552466,11.50953528,0.6672217139999996
0.0,7.443952009882838,2.838071724266829,0.6304860405100956,0.2885818944024565,380.0,48.45674275163283,62.62409038682692,0.0,0.0,1.0,2.0,0.0,0.0,2184.49,263.17,70.15,332.47,78.93625113765083,11.47632012,0.27158668140476183
0.0,5.270053806558843,2.0717858035858403,0.7444413223802683,0.3837371751204209,1.0,61.055653596324674,53.0750919404334,2.0,1.0,1.0,0.0,1.0,2.0,394.74,767.75,1983.4,299.33,38.4328488212427,11.75540571,0.08461445099999992
0.0,5.195835326405301,2.0434004424714614,0.7942888225796397,0.393052183897107,325.0,37.23576043974423,57.557339033019325,2.0,0.0,1.0,1.0,0.0,1.0,210.64,762.82,1730.07,368.56,48.689045487728336,12.21714691,0.16358884036904786
0.0,6.877898325227736,3.943837046464578,0.5348274724436161,0.342097505227361,545.0,97.52418954908408,35.93519052747685,1.0,0.0,0.0,1.0,1.0,1.0,1810.22,215.79,77.26,630.9,58.51940834211654,11.57265976,0.1698284925555557
0.0,7.372008967045543,3.52688802228234,0.5704575856082631,0.2050577086003082,583.0,96.99377353214264,63.65424954032977,2.0,1.0,1.0,2.0,1.0,0.0,110.69,488.87,519.32,262.95,81.5977368014479,11.10892004,0.329211750238095
0.0,5.043402459028352,2.1049467885079447,0.7855216757536547,0.3800568421639788,100.0,97.0695036380264,31.97240724142153,0.0,0.0,1.0,1.0,0.0,0.0,327.0,161.77,4200.11,792.34,40.46346196815773,11.63123172,0.2194773278333333
0.0,5.829971462658316,3.358196020002664,0.6780830329435786,0.3951758979541798,145.0,64.59990776861447,59.480884252877736,0.0,0.0,0.0,2.0,1.0,1.0,1976.28,407.9,2528.11,229.78,53.24451967954976,12.0555069,0.06073885699999999
0.0,5.127141911652459,2.453083689427159,0.5765862886284137,0.3936793164006359,381.0,89.08161915278878,35.31787313288147,1.0,1.0,2.0,0.0,0.0,1.0,843.41,185.28,1354.43,361.91,30.9712572997186,11.47528924,0.209068497
0.0,5.003018876692395,3.861413735750902,0.7815009281636079,0.3828141963780315,221.0,46.22445762368215,72.53504051298178,0.0,0.0,0.0,2.0,0.0,2.0,403.29,171.22,1596.1,315.44,86.13301475781975,12.19210188,0.41569779666666656
0.0,5.050145866564081,4.494057815592884,0.5469508841086714,0.3913899495521011,427.0,98.59536111137754,30.201020740942617,1.0,1.0,2.0,2.0,0.0,0.0,1867.55,234.08,2356.35,560.55,37.52962485804304,11.92814216,0.2661461559999999
0.0,6.499012895976291,2.367632774947793,0.6880590777758215,0.2808462032061342,628.0,30.989488482608536,57.79269582438146,2.0,1.0,1.0,0.0,0.0,1.0,2775.41,236.2,2190.72,647.18,78.16006939068988,11.23035416,0.15243710300000016
0.0,5.0460401454099415,2.3914919173842915,0.7917687273540579,0.3792436378715496,1.0,64.48131763996456,32.85356040598536,1.0,0.0,2.0,2.0,1.0,2.0,314.92,157.46,2292.61,482.03,30.345698307995363,11.24994104,0.1657470145000002
3.0,5.884363472664624,3.902225709600351,0.7838128232041869,0.2834154409493915,339.0,47.984963236248646,54.62643189249178,0.0,1.0,1.0,2.0,1.0,0.0,428.01,174.36,2876.2,198.24,70.00057109221933,12.24877979,0.11806102650000005
0.0,5.042614373294809,3.073069435678341,0.7979001914348048,0.383618487470946,166.0,58.97310099957795,33.13374857071185,0.0,1.0,1.0,0.0,1.0,1.0,402.89,183.86,3785.3,270.22,76.48103558977118,11.09324407,0.12663438466666677
