id,ORCH_1_Dstop(%),ORCH_1_Drestart(%),ORCH_1_Fstop(%),ORCH_1_Frestart(%),PSCS__TAU(%),HUM_1_VEL(%),HUM_2_VEL(%),HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X(%),HUM_1_POS_Y(%),HUM_2_POS_X(%),HUM_2_POS_Y(%),ROB_1_VEL(%),ROB_1_CHG(%)
627,0.05436227434981831,0.07377600831906186,0.07659765381245871,0.7249296603092352,0.0,0.34942266890206536,0.8006373458579501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5218177502104199,0.0
628,0.34250825630892123,0.32973259185135645,0.21580395316190454,0.4746911510308743,0.0,0.31842706829415324,0.3637962790659113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4833690248141165,0.0
629,0.0037758013025939617,0.2162715270468542,0.39884012055099904,0.07657172391003884,0.0,0.825882959930725,0.34383413903219345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6936132885094742,0.0
630,0.7048006273461638,0.01761006773440279,0.2792957950514348,0.5525880556298838,0.0,0.03781362054210859,0.07964513973468611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7942209868005246,0.0
631,0.8426509563426251,0.6705557938274265,0.16687606861832088,0.15247271660806413,0.022222222222222223,0.6080648259568897,0.011171828907920352,1.0,1.0,2.0,2.0,0.0,2.0,0.0033000000000000087,0.0011833333333332993,0.005897727272727335,0.009116666666666665,0.11869389355672512,0.2905898153846153
632,0.1449756043372524,0.8385252868344087,0.27151126392518743,0.46215198684888115,0.0,0.41539043516075114,0.5571079389590096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7371030124930709,0.0
633,0.7534562733987269,0.2048714462789311,0.12857018115475274,0.4336403637413632,0.0,0.5040345250366239,0.03604970029008123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29533428084422825,0.0
634,0.06971840269251003,0.12781369302981194,0.031115557285151432,0.023574089019813,0.0,0.021043292159805254,0.3855872087508208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08801451003387158,0.0
635,0.0992021363442106,0.30899740370387774,0.3983709196961371,0.0636850723263956,0.0022222222222222222,0.00038665273592154595,0.003482847124262126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45160099878694554,2.349230769164241e-05
636,0.9851183568598767,0.7056117286630068,0.1067987195843319,0.4339234150448926,0.0,0.3065097309501339,0.13996788519079603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7744257529698422,0.0
637,0.17429660866582103,0.05064904130656043,0.057997848733967544,0.028630092907100016,0.0,0.0032227151173494966,0.10802073202477312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06539337412363397,0.0
638,0.6136725339780679,0.06197400286439851,0.2534521898924576,0.03923449522281833,0.0,0.014982264097703129,0.8999704030066592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03104506608481939,0.0
639,0.012651374185056597,0.20918626351735217,0.24766713091367906,0.1664250266875979,0.0,0.6968452926900505,0.8186766147215134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02360589188356,0.0
