,PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,SCS,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG
87,0,7.12,3.68,0.6,0.23,385,37.0,85.0,,0,0,,0,2,0.0,2974.93,410.44,3634.84,277.1,61.0,12.30329733
88,0,6.39,3.21,0.61,0.27,121,90.0,78.0,,1,2,,0,0,0.0,245.91,122.83,4004.57,246.63,75.0,11.67336019
89,1,5.9,3.15,0.65,0.23,270,96.0,18.0,,0,1,,1,2,0.0,615.86,192.81,1142.11,759.64,95.0,12.32227142
90,0,6.42,3.7,0.53,0.38,583,83.0,32.0,,1,1,,1,0,0.0,110.69,488.87,519.32,262.95,83.0,11.10892004
91,0,7.01,4.45,0.66,0.36,495,76.0,75.0,,1,2,,1,1,0.0,801.43,728.17,364.2,741.87,35.0,11.76602082
92,0,7.01,2.83,0.62,0.11,219,37.0,52.0,,0,0,,1,1,0.0,2840.64,167.73,70.28,534.16,70.0,11.52576789
93,5,5.97,3.44,0.76,0.14,231,74.0,63.0,,0,1,,1,2,0.5,2594.32,190.47,2839.13,209.03,79.0,11.8732674
94,0,6.377196161,3.712622781,0.5134356351,0.3030923165,310,99.80297858,36.07313565,,1,0,,0,0,0.0,4347.14,534.45,352.97,220.62,72.11091909,12.00216168
95,0,6.09,2.93,0.69,0.2,661,72.0,35.0,,1,1,,1,1,0.0,3648.55,292.68,2405.18,406.77,34.0,12.2023861
96,0,6.42,3.7,0.53,0.38,583,83.0,32.0,,1,1,,1,0,0.0,110.69,488.87,519.32,262.95,83.0,11.10892004
97,0,6.813970164,2.959390182,0.6023728521,0.2216156357,593,35.04858069,73.10501779,,1,0,,0,0,0.0,2823.94,340.35,190.55,268.99,36.35893548,12.04762074
98,0,7.05,2.12,0.74,0.33,558,75.0,35.0,,0,0,,1,0,0.0,3138.2,228.91,1217.09,746.95,32.0,12.25219469
99,1,6.13,4.27,0.73,0.26,305,86.0,67.0,,1,1,,1,2,0.0,106.39,414.63,1398.98,761.93,91.0,11.61138789
