PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS
0.0,6.746692357,3.749403752,0.6247554045,0.3565887732,366.0,45.05643954,60.44026632,2.0,0.0,0.0,2.0,1.0,0.0,1535.08,500.33,2499.7,526.28,83.4404001,12.24063232,0.11282072900000005
4.0,6.29,2.76,0.79,0.16,168.0,65.0,57.0,1.0,1.0,1.0,1.0,0.0,1.0,744.9,157.26,2920.85,196.13,31.0,11.47591198,0.06082787249999996
0.0,6.23,3.65,0.64,0.17,109.0,38.0,98.0,0.0,0.0,0.0,0.0,1.0,2.0,362.71,182.8,1495.42,387.52,33.0,12.07268198,0.1429479050000001
0.0,6.21,3.04,0.68,0.27,687.0,43.0,77.0,0.0,1.0,2.0,1.0,1.0,0.0,169.43,713.47,3733.34,215.79,94.0,11.34362422,0.5360236696666664
0.0,5.15,4.13,0.79,0.11,165.0,51.0,52.0,0.0,0.0,0.0,1.0,1.0,1.0,367.53,177.39,2229.06,294.91,54.0,12.21932986,0.11695629500000022
0.0,5.41,4.19,0.62,0.26,360.0,38.0,79.0,1.0,1.0,2.0,2.0,1.0,2.0,548.54,194.9,138.53,411.75,39.0,11.16858303,0.06872849874999991
0.0,6.67,2.9,0.73,0.14,202.0,54.0,43.0,0.0,1.0,2.0,0.0,0.0,1.0,179.28,621.78,2626.14,228.42,39.0,11.15876268,0.08323563999999989
4.0,5.43,2.85,0.5,0.33,1.0,31.0,75.0,0.0,0.0,0.0,2.0,0.0,2.0,1320.74,433.92,2877.66,195.43,46.0,11.40496677,0.04907230000000001
4.0,6.04,3.97,0.69,0.29,138.0,39.0,66.0,1.0,1.0,0.0,0.0,1.0,0.0,1977.09,175.91,2875.56,195.56,61.0,11.91332962,0.08461445100000003
0.0,7.42,2.81,0.72,0.16,232.0,78.0,76.0,1.0,0.0,2.0,2.0,1.0,2.0,314.92,157.46,2292.61,482.03,42.0,11.31399812,0.30439848799999975
0.0,7.42,2.81,0.72,0.16,694.0,78.0,76.0,1.0,0.0,2.0,2.0,1.0,2.0,2011.81,315.73,2292.61,482.03,42.0,11.45020851,0.3293100708333331
5.0,5.03,2.14,0.74,0.25,428.0,43.0,56.0,2.0,1.0,1.0,0.0,1.0,0.0,2830.16,196.56,2851.44,198.07,66.0,11.87175845,0.2513154920833332
0.0,7.44,2.48,0.71,0.13,167.0,51.0,98.0,1.0,1.0,2.0,1.0,1.0,0.0,1125.36,176.85,3108.03,421.63,58.0,11.80522631,0.35119418099999977
1.0,5.86,3.32,0.61,0.16,290.0,54.0,38.0,1.0,0.0,2.0,1.0,1.0,0.0,821.47,185.73,4445.72,743.68,72.0,12.06148302,0.16150391408333342
1.0,5.9,3.15,0.65,0.23,135.0,96.0,30.0,2.0,0.0,1.0,2.0,1.0,2.0,537.9,195.31,1371.8,217.54,95.0,12.28256139,0.40611594666666656
